index,name,tags,ingredients,wait_time,calories,img
26,gelatina de mosaico,"Gelatina sabor uva, gelatina sabor fresa, gelatina sabor limón, gelatina sabor piña, leche condensada, leche evaporada, media crema, grenetina, fresas, mango, limón, menta,vegetariano,postre,dulce,norte, centro","Gelatina sabor uva, gelatina sabor fresa, gelatina sabor limón, gelatina sabor piña, leche condensada, leche evaporada, media crema, grenetina, fresas, mango, limón, menta,",192,171,./Dataset/GelatinaDeMosaico
27,gorditas,"Harina de maíz, sal, agua, frijoles, carne de res, queso, cilantro,no vegetariano,principal,salado,norte, centro, sur","Harina de maíz, sal, agua, frijoles, carne de res, queso, cilantro,",35,164,./Dataset/Gorditas
28,guacamole,"Aguacate, tomate, cebolla, chile jalapeño, cilantro fresco, limón, sal,vegetariano,acompañamiento,salado,norte, centro, sur","Aguacate, tomate, cebolla, chile jalapeño, cilantro fresco, limón, sal,",15,152,./Dataset/Guacamole
29,huaraches,"Masa de maíz, polvo para hornear, frijoles, aceite, bistec, cebolla, cilantro, queso, sal, pimienta, crema, chile serrano, chile guajillo, tomate,no vegetariano,principal,salado,centro, sur","Masa de maíz, polvo para hornear, frijoles, aceite, bistec, cebolla, cilantro, queso, sal, pimienta, crema, chile serrano, chile guajillo, tomate,",35,350,./Dataset/Huarache
30,huevos rancheros,"Jitomate, chile serrano, cebolla, ajo, aceite, sal, pimienta, tortilla de maíz, huevos, frijol,no vegetariano,principal,salado, picante,norte","Jitomate, chile serrano, cebolla, ajo, aceite, sal, pimienta, tortilla de maíz, huevos, frijol,",25,140,./Dataset/HuevosRancheros
31,machacado,"Aceite, cebolla, ajo, chile serrano, jitomate, carne seca, huevo, sal, pimienta,no vegetariano,principal,salado,norte","Aceite, cebolla, ajo, chile serrano, jitomate, carne seca, huevo, sal, pimienta,",35,184,./Dataset/Machacado
32,merengues,"Azúcar, huevo, vainilla, vinagre, colorante,vegetariano,dulce,dulce, ácido,centro","Azúcar, huevo, vainilla, vinagre, colorante,",35,79,./Dataset/MerenguesMexicanos
33,mole poblano,"Manteca, chile pasilla, chile ancho, caldo de pollo, almendras, cacahuates, nuez, semillas de calabaza, ajonjolí, tomate verde, jitomate, clavos, anís, comino, tomillo, orégano, ajo, cebolla, sal, chocolate, azúcar, tortillas de maíz,vegetariano,principal,salado, picante, ácido, dulce, amargo,centro, sur","Manteca, chile pasilla, chile ancho, caldo de pollo, almendras, cacahuates, nuez, semillas de calabaza, ajonjolí, tomate verde, jitomate, clavos, anís, comino, tomillo, orégano, ajo, cebolla, sal, chocolate, azúcar, tortillas de maíz,",240,118,./Dataset/Mole
34,muéganos,"Harina, polvo para hornear, manteca, leche, aceite, piloncillo, agua,no vegetariano,dulce,dulce,norte, centro, sur","Harina, polvo para hornear, manteca, leche, aceite, piloncillo, agua,",105,180,./Dataset/MueganosMexicanos
35,palanqueta,"Agua, azúcar mascabado, piloncillo, miel, cacahuates, margarina, semillas de calabaza, ajonjolí,vegetariano,dulce,dulce, amargo,centro, sur","Agua, azúcar mascabado, piloncillo, miel, cacahuates, margarina, semillas de calabaza, ajonjolí,",50,230,./Dataset/Palanqueta
36,pambazos,"Chile guajillo, cebolla, ajo, agua, chorizo, papas, bolillo, lechuga, crema agria,no vegetariano,principal,salado, picante,centro, sur","Chile guajillo, cebolla, ajo, agua, chorizo, papas, bolillo, lechuga, crema agria,",55,320,./Dataset/Pambazos
37,pan de pulque,"Huevo, pulque blanco, azúcar, harina de trigo, mantequilla, levadura, ajonjolí,no vegetariano,cena,dulce, ácido,sur","Huevo, pulque blanco, azúcar, harina de trigo, mantequilla, levadura, ajonjolí,",110,295,./Dataset/PanDePulque
38,pescado a la veracruzana,"Filete de pescado, pimienta blanca, aceite de oliva, ajo, jitomate, pimiento morrón, laurel, knorr, aceitunas,no vegetariano,principal,salado, ácido,sur","Filete de pescado, pimienta blanca, aceite de oliva, ajo, jitomate, pimiento morrón, laurel, knorr, aceitunas,",50,315,./Dataset/PescadoALaVeracruzana
39,pico de gallo,"Tomate, cebolla, chile jalapeño, cilantro, limón, sal, aguacate,vegetariano,acompañamiento,salado, picante, ácido,norte, centro, sur","Tomate, cebolla, chile jalapeño, cilantro, limón, sal, aguacate,",30,31,./Dataset/PicoDeGallo
40,pipian,"Semilla de calabaza, cacahuate, tomate verde, cebolla, ajo, lechuga, rábano, aceite, cilantro, caldo de pollo, chile serrano, pollo, calabaza, canela, comino, epazote, pimienta,no vegetariano,principal,salado, picante,centro, sur","Semilla de calabaza, cacahuate, tomate verde, cebolla, ajo, lechuga, rábano, aceite, cilantro, caldo de pollo, chile serrano, pollo, calabaza, canela, comino, epazote, pimienta,",80,160,./Dataset/Pipian
41,pozole,"Pollo, agua, maíz pozolero, cebolla, ajo, sal, chile ancho, chile guajillo, aceite, orégano, lechuga, rábanos, tortillas, limones, aguacate, agua,no vegetariano,principal,salado, picante, ácido,norte, centro, sur","Pollo, agua, maíz pozolero, cebolla, ajo, sal, chile ancho, chile guajillo, aceite, orégano, lechuga, rábanos, tortillas, limones, aguacate, agua,",65,228,./Dataset/Pozole
42,quesadillas,"Tortilla, queso, champiñones, carne, pollo, cebolla, tomate, ajo, chile serrano, aceite, manteca de cerdo, epazote, sal,no vegetariano,principal,salado,norte, centro, sur","Tortilla, queso, champiñones, carne, pollo, cebolla, tomate, ajo, chile serrano, aceite, manteca de cerdo, epazote, sal,",35,293,./Dataset/Quesadillas
43,sopes,"Maseca, agua, sal, frijol, queso, lechuga, aceite, tomate, cilantro, cebolla, chile, crema,no vegetariano,principal,salado,centro, sur","Maseca, agua, sal, frijol, queso, lechuga, aceite, tomate, cilantro, cebolla, chile, crema,",20,87,./Dataset/Sopes
44,tacos,"Tortilla, carne, ajo, tomate, sal, pimienta, chile, aceite, cilantro, limón, cebolla,no vegetariano,principal,salado,norte, centro","Tortilla, carne, ajo, tomate, sal, pimienta, chile, aceite, cilantro, limón, cebolla,",60,226,./Dataset/Tacos
45,tamales,"Pollo, tomate verde, chile serrano, ajo, cebolla, manteca, polvo para hornear, sal, caldo de pollo, harina de maíz, hojas de maíz,no vegetariano,principal,salado, picante, dulce,norte, centro, sur","Pollo, tomate verde, chile serrano, ajo, cebolla, manteca, polvo para hornear, sal, caldo de pollo, harina de maíz, hojas de maíz,",115,612,./Dataset/Tamales
46,tlayudas,"Frijol negro, manteca de cerdo, lechuga, repollo, queso oaxaca, jitomates, chiles verdes, aguacate, rábano, tortillas,no vegetariano,principal,salado,centro, sur","Frijol negro, manteca de cerdo, lechuga, repollo, queso oaxaca, jitomates, chiles verdes, aguacate, rábano, tortillas,",30,297,./Dataset/Tlayudas
